"trajectory","subtrajectory","peakcomposition"
"1:1 2:2 2:1 3:1 4:1","A1B1/A1A2B1B2/A1B1B2/A1B1B2B3/A1B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:1","A1B1/A1A2B1B2/A2B1B2/A2B1B2B3/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:1","A1B1/A1A2B1B2/A1A2B1/A1A2A3B1/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B2/A1A2A3B2B3/A1A2A3A4B2B3/A1A2A3A4B3","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A2B1B2B3/A2A3B1B2B3/A2A3B1B2B3B4/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B1/A1A2A3B1B2/A1A2A3A4B1B2/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B2/A1A2A3B2B3/A1A2A3A4B2B3/A1A2A3A4B3","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A2B1B2B3/A2A3B1B2B3/A2A3B1B2B3B4/A3B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A2B1B2B3/A2A3B1B2B3/A2A3B1B2B3B4/A3B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A2B1B2B3/A2A3B1B2B3/A2A3B1B2B3B4/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B1/A1A2A3B1B2/A1A2A3A4B1B2/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1B1B2B3/A1A2B1B2B3/A1A2B1B2B3B4/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1B1B2B3/A1A2B1B2B3/A1A2B1B2B3B4/A1B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B1/A1A2A3B1B2/A1A2A3A4B1B2/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B1/A1A2A3B1B2/A1A2A3A4B1B2/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1B1B2B3/A1A2B1B2B3/A1A2B1B2B3B4/A1B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 3:2 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B2/A1A2A3B2B3/A1A2A3A4B2B3/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:1 3:1 4:1","A1B1/A1A2B1/A1A2A3B1/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B2/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B1/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:1","A1B1/A1A2B1/A1A2B1B2/A2B1B2B3/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:1","A1B1/A1B1B2/A1A2B1B2/A2B1B2B3/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:1","A1B1/A1A2B1/A1A2B1B2/A1B1B2B3/A1B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B2/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:1","A1B1/A1B1B2/A1A2B1B2/A1B1B2B3/A1B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B2/A1A2A3B2/A2A3A4A5B2B3/A2A3A4A5B2","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1B1B2/A1B1B2B3/A1A2B2B3B4B5/A1B2B3B4B5","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1/A1A2A3B1/A2A3A4A5B1B2/A2A3A4A5B1","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A2B1B2/A2B1B2B3/A2A3B2B3B4B5/A2B2B3B4B5","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A2B1B2/A2B1B2B3/A2A3B2B3B4B5/A3B2B3B4B5","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B2/A1A2A3B2/A1A2A3A4B2B3/A1A2A3A4B3","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B2/A1A2A3B2/A2A3A4A5B2B3/A2A3A4A5B3","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1B1B2/A1B1B2B3/A1A2B1B2B3B4/A1B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A2B1B2/A2B1B2B3/A2A3B1B2B3B4/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1B1B2/A1B1B2B3/A1A2B2B3B4B5/A2B2B3B4B5","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1/A1A2A3B1/A2A3A4A5B1B2/A2A3A4A5B2","0.2 0.4 0.8"
"1:1 2:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A2B1B2/A2B1B2B3/A2A3B1B2B3B4/A3B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B2/A2A3A4A5B2B3/A2A3A4A5B3","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A2B1B2B3/A2A3B1B2B3B4/A3B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A2B1B2B3/A2A3B2B3B4B5/A2B2B3B4B5","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1B1B2B3/A1A2B1B2B3B4/A1B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1B1B2B3/A1A2B2B3B4B5/A2B2B3B4B5","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B1/A2A3A4A5B1B2/A2A3A4A5B1","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1B1B2B3/A1A2B1B2B3B4/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1B1B2B3/A1A2B2B3B4B5/A1B2B3B4B5","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A2B1B2B3/A2A3B2B3B4B5/A2B2B3B4B5","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B2/A2A3A4A5B2B3/A2A3A4A5B3","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A2B1B2B3/A2A3B1B2B3B4/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B2/A2A3A4A5B2B3/A2A3A4A5B2","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A2B1B2B3/A2A3B1B2B3B4/A2B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A2B1B2B3/A2A3B2B3B4B5/A3B2B3B4B5","0.2 0.4 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A2B1B2B3/A2A3B1B2B3B4/A3B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1A2B1/A1A2B1B2/A1A2A3B2/A1A2A3A4B2B3/A1A2A3A4B3","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B2","0.2 0.4 0.6 0.8"
"1:1 2:1 2:2 3:1 4:2 4:1","A1B1/A1B1B2/A1A2B1B2/A1A2A3B2/A1A2A3A4B2B3/A1A2A3A4B3","0.2 0.4 0.6 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A2A3B1/A2A3A4B1/A3A4A5A6B1B2/A3A4A5A6B2","0.2 0.4 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A2A3B2/A2A3A4B2/A3A4A5A6B2B3/A3A4A5A6B2","0.2 0.4 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A3B1B2/A3B1B2B3/A3A4B1B2B3B4/A4B1B2B3B4","0.2 0.4 0.6 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1B2B3/A2B1B2/A2B1B2B3/A2A3B2B3B4B5/A2B2B3B4B5","0.2 0.4 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1B2B3/A1A2B2/A1A2A3B2/A2A3A4A5B2B3/A2A3A4A5B3","0.2 0.4 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A2A3B2/A2A3A4B2/A3A4A5A6B2B3/A3A4A5A6B3","0.2 0.4 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A1A2B1/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B1","0.2 0.4 0.6 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A1A3B1/A1A3A4B1/A3A4A5A6B1B2/A3A4A5A6B2","0.2 0.4 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1B2B3/A1B1B3/A1B1B3B4/A1A2B1B3B4B5/A2B1B3B4B5","0.2 0.4 0.6 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2B1B2B3/A2B2B3/A2B2B3B4/A2A3B3B4B5B6/A3B3B4B5B6","0.2 0.4 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A2A3B1/A2A3A4B1/A2A3A4A5B1B2/A2A3A4A5B2","0.2 0.4 0.6 0.8"
"1:1 2:2 3:2 2:1 3:1 4:2 4:1","A1B1/A1A2B1B2/A1A2A3B1B2/A3B1B2/A3B1B2B3/A3A4B2B3B4B5/A4B2B3B4B5","0.2 0.4 0.8"
